sent1	sent2	gold	preds	dif
It varies by the situation.	This varies by institution.	4	1.120795	2.879205
The answer to both questions is: Yes.	To directly answer the two questions in your title.	0	2.735119	2.735119
Take a look at these:	Take a look at this: 	5	2.583818	2.416182
There are two things to consider:	There are two possible causes for this:	4	1.635209	2.3647910000000003
I'm going to be very direct here.	I'm going to be blunt, here: You don't.	4	1.720362	2.2796380000000003
Germany dodges recession with growth in first quarter	"Eurozone avoids recession in Q1, thanks to Germany
"	2	4.184989	2.184989
Air strike kills one man in Syria's Hama	"US drone strike kills eleven in Pakistan
"	2.80	0.625163	2.1748369999999997
No it does not affect your ratings.	No it is not.	0	2.171242	2.171242
It is impossible to answer this question without a form check.	This is a part answer to your question	0	2.096098	2.096098
Well, I wouldn't put it on my cv.	I wouldn't put this job on my resume.	4	1.966602	2.033398
You just have to base your answer on what you do know, which is what you want.	Remember this is your degree we are talking about, its up to you what you want to do.	0	2.029574	2.029574
Portugal Drownings: UK Girl And Grandad Named	"British Girl And Grandad Drown In Portugal
"	2.2	4.2210589999999995	2.0210589999999993
Work into it slowly.	It seems to work.	0	2.020972	2.020972
"My answer to your question is ""Probably Not""."	The answer to your question is not really.	4	1.9997189999999998	2.000281
Three young women standing in a room together.	"Three dark haired young women in white, red and black sweaters.
"	3.4	1.417381	1.982619
You have to decide what you want to get out of this.	You have to find out what works for you.	4	2.034967	1.965033
"He playfully chided the Senate's ""little bitty tax relief plan."""	"We don't need a little bitty tax relief plan.
"	3.500	1.537825	1.962175
Goa building collapse death toll touches 15	Indian building collapse deaths rise to 14	3	1.055891	1.944109
There are a few things you can do: 	There are a few things you need to consider:	4	2.0859650000000003	1.9140349999999997
The man has a orange shirt.	"The woman has a orange shirt.
"	3.400000	1.490656	1.909344
I had the same problem as you.	I have exactly the same problem.	5	3.119668	1.8803320000000001
I have few suggestions for you:	I have two suggestions for you:	4	2.130664	1.869336
Q: Can I buy coverage for prescription drugs right away?	"Congress has added a new benefit - an option to buy insurance coverage for prescription drugs.
"	1.250	3.114158	1.8641580000000002
I'm afraid we are out of luck in this one.	I think this is one of those things where you are just out of luck.	5	3.168509	1.8314910000000002
I realized there is already an accepted answer but I figure I would add my 2 cents.	I know this is an old question but I feel I should add my 2 cents.	5	3.191075	1.808925
I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/	I found some link that might be of help to you:	3	1.211508	1.788492
123 killed in fighting in northern Syria	"Many killed in Syrian air strike
"	3	1.22665	1.77335
The 30-year bond US30YT=RR rose 22/32 for a yield of 4.31 percent, versus 4.35 percent at Wednesday's close.	"The 30-year bond US30YT=RR grew 1-3/32 for a yield of 4.30 percent, down from 4.35 percent late Wednesday.
"	3.800	2.072633	1.7273669999999997
Syria hands over bodies of journalists	"Syria TV says govt troops free captive journalists
"	1.4	3.118574	1.7185740000000003
South Korea declares end to MERS outbreak	North Korea Delegation Meets With South Korean Officials	0	1.716366	1.716366
"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come."""	"Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come.
"	4.800	3.0870900000000003	1.7129099999999995
Afghan police kill 5 Taliban fighters	"5 Taliban, 5 Afghan police killed in ambushes
"	2.2	3.906336	1.7063359999999999
The man is using a camera to hammer a nail.	"Someone is banging a camera lense against a nail.
"	2.600	4.2954550000000005	1.6954550000000004
A man holding a cat.	"A man holding a dog.
"	3.000000	1.3053620000000001	1.6946379999999999
A cat gets stuck on a moving ceiling fan.	"A cat is swinging on a fan.
"	4.200	2.5141459999999998	1.6858540000000004
US drone strike 'kills 4 militants in Pakistan'	"US drone strike kills 10 in Pakistan
"	3.80	2.1179930000000002	1.6820069999999996
A man in a brown coat rubs his nose.	"A bald man with a red beard holds his hand near his mouth.
"	2.200000	0.531447	1.6685530000000002
The answer to this and all such similar questions is in two stages:	The answer to both questions is: Yes.	1	2.659831	1.659831
Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).	"HP fell to second place with server sales growing 0.4 percent to $2.9 billion.
"	4.400	2.752426	1.6475740000000005
A female DJ holds up a Michael Jackson album.	"a girl holding a picture of Michael Jackson smiling
"	3.00	1.358087	1.641913
There are a few things I think you should do.	There are a few minimally-effective things you can do at the personal level.	4	2.364807	1.6351930000000001
A machine is sharpening a pencil.	"The machine shaved the end of the pencil.
"	3.800	2.170356	1.6296439999999999
Firefighters battle forest fire in SW China	"Firefighters battling scrub fire in Hokianga
"	3.40	1.770931	1.6290689999999999
This is a problem that the professor has to deal with.	This is a big problem.	1	2.620323	1.620323
It is more deciding what you should do and what you should get others to do.	Point is: know what you want and don't be afraid to ask for it.	0	1.610839	1.610839
The driver of the truck escaped and is now being sought by the police, Supoyo said.	"But police say the driver of the truck has not been found and is wanted for questioning.
"	4.000	2.410876	1.589124
In the first case, I think you don't need it.	So I don't think you need to put it on the cover.	1	2.574386	1.574386
The boy is raising his hand.	"The man is raising his hand.
"	3.400000	1.8259459999999998	1.574054
You just have to base your answer on what you do know, which is what you want.	You may want it, but the process given to you is what you have to work within.	0	1.563808	1.563808
Bomber strikes near Pakistan army HQ	"Bombing Outside Restaurant in Pakistan Wounds 15
"	3.00	1.444498	1.555502
The answers so far are already good, but I'd like to add a map for Switzerland:	You have a lot of answers already, but I'd like to add Curries as another solutions.	0	1.541923	1.541923
Two motorbikes racing on a dirt course.	"two motorbikes on a dirt track.
"	3.4	4.9361440000000005	1.5361440000000006
I think you're looking for Mikey (1992).	I think you're looking for the movie	3	1.471835	1.528165
A woman is dancing in the rain.	"A woman dances in the rain out side.
"	5.000	3.476036	1.5239639999999999
Yes it is common!	The simple answer is yes!	3	1.4817790000000002	1.5182209999999998
You may have to experiment and find what you like.	You have to find out what works for you.	5	3.4843660000000005	1.5156339999999995
Iran, sextet to resume expert talks	"Iran upbeat on 'useful' expert-level nuke talks
"	1.60	3.110543	1.5105429999999997
The girl has something on her head.	"The woman has something with her.
"	2.600000	1.0919940000000001	1.508006
The woman is wearing yellow.	"The woman is wearing red.
"	2.800000	1.2973350000000001	1.5026649999999997
Strong new quake hits shattered Pak region	"6.8 quake in shattered Pakistan region
"	4.40	2.932245	1.4677550000000004
A girl is talking to her dad on a cellphone.	"a girl is talking on her phone.
"	4.400000	2.945698	1.4543020000000002
"My answer to your question is ""Probably Not""."	This is a part answer to your question	1	2.4456849999999997	1.4456849999999997
a man working at the steel mill	"A man working in a foundry.
"	3.400000	1.972147	1.4278529999999998
Militant attack from Afghanistan kills four in Upper Dir	Militant attack from Afghanistan kills FC soldier in Balochistan	3	1.57921	1.42079
A cat cleans itself.	"A cat is licking itself.
"	3.800	2.38646	1.4135399999999998
I had the same problem as you.	I have just had the same problem.	5	3.592484	1.4075160000000002
US, China fail to paper over cracks in ties	"China: Relief in focus as hope for missing fades
"	0.40	1.798631	1.398631
A dog under the stairs	"A dog is resting on the stairs.
"	2.200000	3.5863120000000004	1.3863120000000002
"""In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history,"" Bush said."	"Surrounded by singers from Harlem, Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.
"	4.250	2.863739	1.3862610000000002
Girls are holding hands in blue clothes	"The young people are wearing jeans with their red and green shirts.
"	1.800000	0.41467200000000004	1.385328
A man is playing a musical keyboard.	"A man is playing a keyboard piano.
"	5.000	3.627504	1.372496
There are two possible causes for this:	There are two options for you - 	1	2.368533	1.3685330000000002
Large group of people standing outside of a building.	"A group of people are ice skating in a big city.
"	2.00	0.6376890000000001	1.362311
A monkey is playing drums.	"A gorilla plays the drums.
"	2.800	4.159398	1.3593980000000006
A gray cat laying on a brown table.	"A grey cat lying on a wooden table.
"	4.2	2.844445	1.3555550000000003
It is impossible to answer this question without a form check.	It is difficult, if not impossible, to give a complete answer to this question.	2	3.330972	1.330972
